Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
32000,2.0495367,0.0,52.988195615514336,-0.5858427,-0.9235253481043352,-0.9235253481043352,12.131603,0.021847932,0.00029987685,1.0
64000,2.0133972,0.0,52.0364238410596,-0.2835572,-0.9722212400800158,-0.9722212400800158,3.681547,0.014435581,0.0002996922,1.0
96000,2.0233493,0.0,50.74313408723748,-0.036498427,-0.9770158410842661,-0.9770158410842661,1.5689652,0.020233873,0.0002995077,1.0
128000,2.0906043,0.0,49.82034976152623,0.105052605,-0.9996120730089763,-0.9996120730089763,0.9948913,0.017027047,0.00029932332,1.0
160000,2.0568097,0.0,49.82193958664547,-0.22439997,-0.9987424551398273,-0.9987424551398273,0.8479702,0.016069753,0.0002991389,1.0
192000,2.0672798,0.0,50.33065810593901,-0.49293166,-0.9716240468984231,-0.9716240468984231,0.30934262,0.019625664,0.00029895437,1.0
224000,2.0421093,0.0,51.78382838283829,-0.46962404,-0.9104587486376463,-0.9104587486376463,0.23821007,0.01711613,0.00029876948,1.0
256000,2.044902,0.0,50.651612903225804,-0.5018476,-0.9173664578507024,-0.9173664578507024,0.13502178,0.018705282,0.0002985848,1.0
288000,1.9844487,0.0,52.55813953488372,-0.5624248,-0.8730713655201834,-0.8730713655201834,0.098647155,0.017374557,0.0002983387,1.0
320000,1.8889254,0.0,54.44230769230769,-0.73490494,-0.7872963694393945,-0.7872963694393945,0.11475094,0.021049082,0.00029815416,1.0
352000,1.9115872,0.0,55.212653778558874,-0.71894616,-0.7681000059111076,-0.7681000059111076,0.080172054,0.015953189,0.0002979697,1.0
384000,1.813774,0.0,54.35467128027682,-0.6416834,-0.7322844331342869,-0.7322844331342869,0.07095439,0.016795848,0.00029778495,1.0
416000,1.7111334,0.0,55.96785714285714,-0.47990593,-0.646589309720857,-0.646589309720857,0.06708347,0.015261086,0.0002976001,1.0
448000,1.6435366,0.0,56.135714285714286,-0.51961255,-0.6085132176322596,-0.6085132176322596,0.04696392,0.018206013,0.00029741495,1.0
480000,1.6349967,0.0,56.24865831842576,-0.48772103,-0.610511273092362,-0.610511273092362,0.042306945,0.019115571,0.00029723026,1.0
512000,1.5291235,0.0,57.028985507246375,-0.38206044,-0.599300365301146,-0.599300365301146,0.03848678,0.016855098,0.00029704563,1.0
544000,1.5826247,0.0,55.21441124780316,-0.32799396,-0.612934976868554,-0.612934976868554,0.036890022,0.015653249,0.00029686093,1.0
576000,1.6394811,0.0,57.194545454545455,-0.38056967,-0.5868850935589184,-0.5868850935589184,0.06107077,0.018142585,0.0002966148,1.0
608000,1.7158118,0.0,57.59340659340659,-0.30439928,-0.598488280242616,-0.598488280242616,0.04137737,0.014152554,0.00029643034,1.0
640000,1.651168,0.0,56.70990990990991,-0.39433578,-0.602352073332211,-0.602352073332211,0.03720264,0.014064021,0.00029624556,1.0
672000,1.671952,0.0,57.10564663023679,-0.27950975,-0.6104345459829678,-0.6104345459829678,0.10244744,0.018911388,0.00029606099,1.0
704000,1.6456233,0.0,57.18032786885246,-0.46233147,-0.5859712715582414,-0.5859712715582414,0.10780827,0.020387765,0.0002958763,1.0
736000,1.6431203,0.0,56.75812274368231,-0.60300255,-0.592540794385039,-0.592540794385039,0.033534754,0.018067805,0.00029569163,1.0
768000,1.6724038,0.0,57.016304347826086,-0.52283466,-0.579345649621193,-0.579345649621193,0.03043736,0.018005392,0.00029550714,1.0
800000,1.7300317,0.0,58.32899628252788,-0.3939997,-0.5571031477544215,-0.5571031477544215,0.040475164,0.014344816,0.00029532245,1.0
832000,1.7383024,0.0,58.77238805970149,-0.41072106,-0.5453414072963729,-0.5453414072963729,0.032759637,0.018290948,0.00029513796,1.0
864000,1.7478615,0.0,60.340384615384615,-0.4055362,-0.5196126522120954,-0.5196126522120954,0.035029907,0.017055927,0.00029489188,1.0
896000,1.7362348,0.0,60.406909788867566,-0.35905623,-0.5131328007538808,-0.5131328007538808,0.037425257,0.02024621,0.00029470708,1.0
928000,1.7275963,0.0,64.31160896130346,-0.43524858,-0.45692868709807,-0.45692868709807,0.057093672,0.01780425,0.00029452253,1.0
960000,1.7424531,0.0,66.92110874200426,-0.37093937,-0.4097701061381968,-0.4097701061381968,0.23156907,0.019010117,0.0002943379,1.0
992000,1.7479063,0.0,69.05689277899343,-0.34397417,-0.3884510452570353,-0.3884510452570353,0.046837993,0.017138794,0.00029415303,1.0
1024000,1.744111,0.0,71.85779816513761,-0.38914657,-0.3281146214779364,-0.3281146214779364,0.039984714,0.014787349,0.0002939684,1.0
1056000,1.717702,0.0,76.8734793187348,-0.46940622,-0.2522450752049974,-0.2522450752049974,0.050517492,0.015086066,0.00029378379,1.0
1088000,1.722505,0.0,85.67466666666667,-0.10305553,-0.08230639784722715,-0.08230639784722715,0.58937514,0.01672996,0.00029353768,1.0
1120000,1.760893,0.0,80.91052631578947,-0.083751686,-0.14144522060329714,-0.14144522060329714,0.12515435,0.021825787,0.0002933527,1.0
1152000,1.7723342,0.0,95.12574850299401,-0.14913923,0.06706101209370058,0.06706101209370058,0.06838259,0.017028399,0.0002931677,1.0
1184000,1.8014903,0.0,102.91558441558442,-0.11295678,0.20327415965594253,0.20327415965594253,0.06704681,0.013732398,0.00029298328,1.0
1216000,1.7974735,0.0,98.74223602484471,-0.0671317,0.16151564683973418,0.16151564683973418,0.06684871,0.016352247,0.0002927988,1.0
1248000,1.8010921,0.0,109.57638888888889,-0.066728346,0.3203758376960953,0.3203758376960953,0.061117623,0.014732601,0.00029261413,1.0
1280000,1.7604545,0.0,109.12671232876713,-0.09967831,0.3368358789235866,0.3368358789235866,0.06564812,0.016471967,0.00029242918,1.0
1312000,1.7865894,0.0,131.2928870292887,0.0140132345,0.6996685344725847,0.6996685344725847,0.07515274,0.016402667,0.00029224405,1.0
1344000,1.7955738,0.0,142.48214285714286,0.02099446,0.8840701891435101,0.8840701891435101,0.1336104,0.017000955,0.00029205924,1.0
1376000,1.7778378,0.0,138.5921052631579,-0.12464789,0.9215914478950333,0.9215914478950333,0.09915068,0.014586529,0.00029181264,1.0
1408000,1.7794102,0.0,176.1912568306011,-0.037398,1.4955227112835223,1.4955227112835223,0.07610707,0.016166888,0.00029162777,1.0
1440000,1.7735429,0.0,171.94444444444446,0.18225071,1.563541418645117,1.563541418645117,0.16459268,0.015938794,0.00029144267,1.0
1472000,1.9287802,1.0,171.92432432432432,0.35823396,1.3814532803522575,1.3814532803522575,0.100243196,0.014804991,0.00029125754,1.0
1504000,1.986684,2.0,147.22388059701493,0.37386152,0.923691343848068,0.923691343848068,0.10105674,0.016010376,0.0002910728,1.0
1536000,1.9914774,2.0,157.01941747572815,0.37030584,1.0194060939897611,1.0194060939897611,0.12310006,0.014313025,0.00029088798,1.0
1568000,1.9417341,2.0,199.45222929936307,0.4195725,1.7261583078059421,1.7261583078059421,0.09316022,0.018907223,0.0002907033,1.0
1600000,1.8793899,2.0,267.94117647058823,0.51606596,2.9503138780593874,2.9503138780593874,0.086696714,0.01822728,0.00029051857,1.0
1632000,1.8037912,2.0,278.780701754386,0.633098,3.2293584801648794,3.2293584801648794,0.085988335,0.015137091,0.00029033353,1.0
1664000,1.7675697,2.0,255.3089430894309,0.60280055,2.9839305836495345,2.9839305836495345,0.09156965,0.017059688,0.00029008728,1.0
1696000,1.748215,3.0,287.4,0.60860026,3.535880590620495,3.535880590620495,0.1220875,0.012415169,0.00028990285,1.0
1728000,1.8171616,3.0,215.57638888888889,0.8013396,2.0824629033191338,2.0824629033191338,0.14946552,0.023230959,0.00028971766,1.0
